product_id,product_name,category,supplier,reorder_point,avg_days_cover,min_closing_stock,avg_closing_stock,months_stockout,months_low_stock,months_overstock,risk_flag,priority_score
SKU-1039,Office Chair,Office,Nova Supply Co.,12,458.125,34,51.666666666666664,0,0,6,Overstock Risk,6
SKU-1002,Bluetooth Speaker,Electronics,Nova Supply Co.,24,190.66666666666666,3,80.75,0,1,4,Overstock Risk,6
SKU-1049,Makeup Brush Set,Beauty,Nova Supply Co.,33,993.4166666666666,41,110.25,0,0,5,Overstock Risk,5
SKU-1054,Resistance Bands,Sports,Peak Imports,26,929.1666666666666,63,99.41666666666667,0,0,5,Overstock Risk,5
SKU-1045,Moisturizer,Beauty,Urban Source Ltd.,26,712.9166666666666,2,72.41666666666667,0,1,3,Overstock Risk,5
SKU-1046,Moisturizer,Beauty,Peak Imports,21,563.5749999999999,46,79.58333333333333,0,0,5,Overstock Risk,5
SKU-1063,Dumbbell Set,Sports,Urban Source Ltd.,28,562.3000000000001,1,74.16666666666667,0,1,3,Overstock Risk,5
SKU-1040,Office Chair,Office,Brightline Wholesale,19,511.8666666666666,1,61.75,0,1,3,Overstock Risk,5
SKU-1044,Sunscreen,Beauty,Nova Supply Co.,18,435.1583333333333,20,65.91666666666667,0,0,5,Overstock Risk,5
SKU-1012,USB-C Hub,Electronics,Nova Supply Co.,30,307.3333333333333,30,103.91666666666667,0,0,5,Overstock Risk,5
SKU-1019,Electric Kettle,Home & Kitchen,Nova Supply Co.,24,269.34999999999997,39,91.66666666666667,0,0,5,Overstock Risk,5
SKU-1042,Face Cleanser,Beauty,Peak Imports,16,215.70000000000002,2,47.666666666666664,0,1,3,Overstock Risk,5
SKU-1010,USB-C Hub,Electronics,Peak Imports,29,169.375,8,84.0,0,1,3,Overstock Risk,5
SKU-1003,Bluetooth Speaker,Electronics,Brightline Wholesale,23,703.85,40,84.91666666666667,0,0,4,Overstock Risk,4
SKU-1025,Desk Lamp,Home & Kitchen,Urban Source Ltd.,30,591.3166666666667,36,98.33333333333333,0,0,4,Overstock Risk,4
SKU-1037,Desk Organizer,Office,Nova Supply Co.,14,372.125,24,51.166666666666664,0,0,4,Overstock Risk,4
SKU-1053,Yoga Mat,Sports,Brightline Wholesale,28,176.99166666666667,4,85.75,0,1,2,Normal,4
SKU-1013,Mechanical Keyboard,Electronics,Nova Supply Co.,19,689.1666666666666,39,70.58333333333333,0,0,3,Overstock Risk,3
SKU-1015,Mechanical Keyboard,Electronics,Aster Distribution,29,623.5333333333333,46,93.33333333333333,0,0,3,Overstock Risk,3
SKU-1064,Dumbbell Set,Sports,Brightline Wholesale,33,599.3666666666667,46,110.66666666666667,0,0,3,Overstock Risk,3
SKU-1030,Storage Box,Home & Kitchen,Urban Source Ltd.,32,598.7583333333333,43,105.58333333333333,0,0,3,Overstock Risk,3
SKU-1033,Gel Pen Set,Office,Aster Distribution,19,531.4499999999999,48,74.16666666666667,0,0,3,Overstock Risk,3
SKU-1001,Bluetooth Speaker,Electronics,Nova Supply Co.,21,417.10833333333335,22,66.91666666666667,0,0,3,Overstock Risk,3
SKU-1032,Notebook,Office,Brightline Wholesale,27,622.0333333333333,44,75.16666666666667,0,0,2,Normal,2
SKU-1041,Face Cleanser,Beauty,Brightline Wholesale,26,654.6750000000001,45,82.08333333333333,0,0,1,Normal,1
