product_id,product_name,category,revenue,profit,units_sold,orders,margin_pct
SKU-1037,Desk Organizer,Office,1084.65,436.96999999999997,46,29,0.4028672843774489
SKU-1039,Office Chair,Office,1024.96,413.21000000000004,25,17,0.40314743990009366
SKU-1059,Water Bottle,Sports,1015.25,129.38,51,34,0.12743659197242058
SKU-1018,Air Fryer,Home & Kitchen,967.04,344.96,81,47,0.35671740569159494
SKU-1049,Makeup Brush Set,Beauty,951.09,180.69,30,20,0.18998202062896255
SKU-1047,Hair Dryer,Beauty,945.8199999999999,152.57,19,16,0.16130976295701085
SKU-1058,Water Bottle,Sports,914.68,194.28,20,13,0.21240215157213452
SKU-1055,Resistance Bands,Sports,877.13,147.82999999999998,34,18,0.16853830105001538
SKU-1065,Dumbbell Set,Sports,777.1899999999999,292.99,45,37,0.37698632252087655
SKU-1062,Running Belt,Sports,750.99,272.67,24,16,0.36308073343187
SKU-1043,Sunscreen,Beauty,738.17,127.07,30,22,0.1721419185282523
SKU-1029,Storage Box,Home & Kitchen,652.41,101.37,48,34,0.15537775325332231
SKU-1045,Moisturizer,Beauty,468.04,115.0,12,10,0.24570549525681565
SKU-1046,Moisturizer,Beauty,407.24,168.56,52,39,0.41390826048521756
SKU-1013,Mechanical Keyboard,Electronics,372.59,107.05,11,8,0.2873131323975415
